Age,Gender,Height_cm,Weight_kg,Know_BMI,Fitness_Goal,Activity_Level,Exercise_Frequency,Medical_Conditions,Tracking_Preference,Motivation,Willingness_to_Use_App,Importance_of_Sustainability,Empathy_Preference,Willingness_to_Pay,Useful_App_Features,Used_Fitness_App_Before,Stopped_App_Reason,Workout_Preference,Monthly_Income,Fitness_Persona,Would_Recommend_App,BMI
32,Female,169,95,No,Muscle gain,Medium,3–4,Yes,Not tracking,Mental health,2,1,Maybe,₹200–₹500,"Reminders, Community features",Yes,Didn’t see results,Guided,₹1L–₹2L,Need better results,Yes,35.85842633071153
29,Male,179,55,No,Improve flexibility,Low,3–4,No,Wearable devices,Appearance,1,2,Yes,₹200–₹500,"Workout plans, Diet tracker",No,"Didn’t see results, Privacy concerns, Too expensive",Mix of both,>₹2L,Need better results,Maybe,19.604960295842087
28,Male,171,52,Yes,Muscle gain,High,3–4,No,Not tracking,Appearance,1,5,Maybe,₹200–₹500,"Challenges, Reminders, Diet tracker, Community features",No,"Didn’t see results, App was buggy, Got bored",Self-paced,<₹20k,Need better results,Yes,15.0
22,Male,149,87,No,Muscle gain,Medium,1–2,No,Wearable devices,Energy,1,1,No,₹0,"Mental health tips, Community features",Yes,"Got bored, Privacy concerns, Others",Self-paced,<₹20k,Need better results,Yes,38.592122481158874
25,Female,175,75,No,Maintain health,Low,0,No,Not tracking,Health,2,1,Yes,>₹1000,"Diet tracker, Mental health tips, Reminders",Yes,App was buggy,Guided,<₹20k,Need motivation to start,Maybe,23.434687062413072
36,Female,155,55,No,Weight loss,Low,3–4,No,Manual logs,Others,1,1,No,₹500–₹1000,"Challenges, Workout plans, Community features",No,Didn’t see results,Mix of both,₹50k–₹1L,Need motivation to start,Yes,24.45102022583986
34,Male,161,73,Yes,Weight loss,Low,1–2,No,In-app tracking,Social influence,3,1,Maybe,₹500–₹1000,"Diet tracker, Reminders, Community features",Yes,"Got bored, App was buggy",Mix of both,₹20k–₹50k,Need motivation to start,Maybe,25.88634889227652
22,Male,167,54,Yes,Mental wellness,High,1–2,Yes,In-app tracking,Mental health,1,3,Yes,₹200–₹500,"Challenges, Workout plans",Yes,Privacy concerns,Guided,₹50k–₹1L,Need better results,Yes,22.48244483629837
30,Male,184,86,Yes,Maintain health,Low,5–6,No,In-app tracking,Energy,4,5,Maybe,₹500–₹1000,"Mental health tips, Challenges, Reminders",Yes,Privacy concerns,Guided,₹50k–₹1L,Consistent,Yes,22.46193644775342
36,Prefer not to say,196,85,No,Maintain health,Medium,5–6,No,Wearable devices,Health,1,4,Yes,₹200–₹500,"Challenges, Diet tracker, Workout plans",Yes,"Others, App was buggy, Didn’t see results",Self-paced,₹1L–₹2L,Consistent,Maybe,21.84587488664514
16,Male,171,77,Yes,Maintain health,Medium,5–6,No,In-app tracking,Health,1,2,Yes,<₹200,"Diet tracker, Community features, Reminders, Workout plans",Yes,App was buggy,Guided,₹1L–₹2L,Need better results,Yes,23.923359591397542
34,Female,163,75,Yes,Weight loss,High,3–4,No,Manual logs,Social influence,1,1,Yes,<₹200,"Mental health tips, Community features, Diet tracker, Challenges",Yes,Privacy concerns,Self-paced,>₹2L,Consistent,Maybe,29.542063433345273
24,Female,170,96,Yes,Maintain health,Low,1–2,No,In-app tracking,Energy,1,4,Yes,₹200–₹500,"Mental health tips, Diet tracker, Community features",Yes,"Too expensive, Privacy concerns, Didn’t see results",Mix of both,₹20k–₹50k,Need motivation to start,Maybe,29.101708291963476
34,Male,173,69,Yes,Muscle gain,Medium,3–4,No,Wearable devices,Energy,4,3,Yes,<₹200,"Mental health tips, Diet tracker, Challenges, Reminders",No,Privacy concerns,Mix of both,₹20k–₹50k,Need motivation to start,No,22.711757027907055
23,Male,161,52,Yes,Muscle gain,Medium,1–2,No,Not tracking,Appearance,5,4,Maybe,>₹1000,"Mental health tips, Diet tracker, Workout plans, Challenges",Yes,"Got bored, Didn’t see results, Others",Mix of both,<₹20k,Need motivation to start,Yes,19.678779789648754
15,Male,182,76,No,Muscle gain,Medium,3–4,No,Manual logs,Appearance,1,1,Yes,₹0,"Mental health tips, Reminders, Diet tracker",Yes,Too expensive,Self-paced,₹50k–₹1L,Start but can’t continue,Yes,21.152083474403756
16,Female,167,101,Yes,Weight loss,Low,0,Yes,Manual logs,Social influence,3,5,Yes,₹200–₹500,"Diet tracker, Community features",Yes,Others,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,38.65223384904482
30,Female,169,54,Yes,Weight loss,Low,5–6,No,Wearable devices,Health,4,4,No,₹200–₹500,"Mental health tips, Community features",Yes,"Others, Didn’t see results",Self-paced,>₹2L,Consistent,Yes,22.31430229563947
32,Female,171,64,Yes,Others,Low,1–2,No,Wearable devices,Health,5,1,Maybe,₹200–₹500,"Reminders, Mental health tips, Community features",Yes,Too expensive,Self-paced,₹1L–₹2L,Need motivation to start,Maybe,21.081339476441265
22,Female,169,76,Yes,Muscle gain,Medium,Daily,No,Wearable devices,Appearance,1,1,Maybe,₹200–₹500,"Mental health tips, Diet tracker",No,"Too expensive, App was buggy, Others",Self-paced,₹20k–₹50k,Consistent,Yes,26.868411488417934
35,Male,173,69,Yes,Muscle gain,Low,5–6,No,In-app tracking,Social influence,5,2,Maybe,<₹200,"Reminders, Diet tracker, Workout plans, Challenges",Yes,Didn’t see results,Self-paced,₹50k–₹1L,Start but can’t continue,Maybe,21.819996049946365
16,Prefer not to say,158,55,Yes,Weight loss,Medium,3–4,No,Not tracking,Appearance,3,2,Maybe,₹500–₹1000,"Mental health tips, Challenges, Community features",Yes,"Others, Didn’t see results",Mix of both,₹20k–₹50k,Need better results,Maybe,19.505645437606514
29,Female,159,86,Yes,Weight loss,Low,5–6,No,In-app tracking,Social influence,4,5,Maybe,₹200–₹500,"Mental health tips, Diet tracker",No,Got bored,Self-paced,<₹20k,Consistent,Maybe,31.782284368990013
20,Male,153,104,Yes,Maintain health,High,3–4,No,In-app tracking,Appearance,4,2,Maybe,₹200–₹500,"Diet tracker, Mental health tips",Yes,Didn’t see results,Mix of both,₹1L–₹2L,Need better results,Maybe,42.24484527716285
24,Prefer not to say,169,72,Yes,Muscle gain,High,5–6,No,Manual logs,Social influence,5,5,Maybe,₹500–₹1000,"Challenges, Diet tracker, Community features, Reminders",Yes,"Got bored, Didn’t see results, Privacy concerns",Mix of both,>₹2L,Start but can’t continue,Maybe,27.707394658243874
30,Female,172,56,Yes,Muscle gain,Medium,3–4,No,In-app tracking,Mental health,1,3,Yes,₹500–₹1000,"Reminders, Community features, Challenges",No,"Privacy concerns, App was buggy",Self-paced,<₹20k,Need motivation to start,Maybe,19.789245169644314
23,Female,169,46,No,Weight loss,Low,5–6,No,Manual logs,Appearance,2,3,Yes,₹500–₹1000,"Challenges, Reminders, Mental health tips",Yes,Too expensive,Self-paced,₹1L–₹2L,Consistent,Maybe,15.0
26,Female,181,73,No,Maintain health,Low,3–4,No,In-app tracking,Energy,4,2,No,₹200–₹500,"Reminders, Mental health tips, Workout plans, Challenges",No,Too expensive,Self-paced,₹1L–₹2L,Need motivation to start,Maybe,20.55505801855586
38,Female,164,86,Yes,Weight loss,Low,Daily,No,Wearable devices,Health,2,3,Yes,₹200–₹500,"Workout plans, Diet tracker, Reminders",Yes,"Got bored, Others, Privacy concerns",Guided,₹20k–₹50k,Start but can’t continue,Maybe,29.98090895934059
25,Female,171,77,Yes,Weight loss,Low,3–4,No,Wearable devices,Appearance,4,4,Yes,₹200–₹500,"Workout plans, Diet tracker, Community features",Yes,Got bored,Mix of both,₹20k–₹50k,Start but can’t continue,Maybe,22.575832764880474
36,Male,154,69,No,Muscle gain,Medium,3–4,No,Wearable devices,Social influence,1,4,No,₹500–₹1000,"Mental health tips, Workout plans, Community features, Challenges",No,App was buggy,Mix of both,₹50k–₹1L,Start but can’t continue,Yes,30.13258067091641
20,Male,161,61,Yes,Weight loss,Medium,5–6,No,Not tracking,Health,1,4,Maybe,₹500–₹1000,"Community features, Workout plans, Reminders, Challenges",Yes,Didn’t see results,Guided,₹1L–₹2L,Need better results,Yes,23.278539143584226
34,Non-binary,171,53,No,Weight loss,High,5–6,No,Manual logs,Health,4,3,Yes,<₹200,"Community features, Reminders",Yes,"Got bored, Too expensive",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,21.544764057990403
41,Male,173,82,No,Maintain health,Low,3–4,No,In-app tracking,Appearance,5,4,Maybe,₹200–₹500,"Reminders, Challenges, Workout plans",No,Others,Guided,₹20k–₹50k,Need better results,Yes,23.231122018190316
10,Male,162,83,Yes,Maintain health,Medium,1–2,No,Manual logs,Health,1,5,Maybe,₹500–₹1000,"Community features, Mental health tips, Diet tracker, Workout plans",Yes,"Privacy concerns, Got bored, App was buggy",Self-paced,₹50k–₹1L,Start but can’t continue,Yes,33.32269936158802
23,Male,164,46,Yes,Improve flexibility,Medium,3–4,No,In-app tracking,Social influence,1,1,Maybe,₹200–₹500,"Diet tracker, Workout plans",No,"App was buggy, Privacy concerns",Self-paced,₹50k–₹1L,Start but can’t continue,Maybe,18.976818416984646
34,Male,149,93,No,Muscle gain,Medium,Daily,Yes,Not tracking,Health,3,2,Maybe,₹200–₹500,"Diet tracker, Workout plans, Community features",No,Privacy concerns,Guided,₹50k–₹1L,Consistent,No,44.026739885315195
28,Female,161,78,Yes,Weight loss,Low,5–6,No,Wearable devices,Others,1,5,Maybe,₹200–₹500,"Diet tracker, Community features",Yes,Got bored,Guided,₹20k–₹50k,Need better results,Yes,30.582721998142734
32,Non-binary,173,90,Yes,Weight loss,Medium,5–6,No,In-app tracking,Social influence,3,4,No,₹200–₹500,"Mental health tips, Reminders, Community features, Diet tracker",Yes,"Others, Too expensive",Self-paced,₹1L–₹2L,Consistent,Maybe,31.916647751065007
25,Male,170,49,Yes,Others,Medium,0,No,Not tracking,Appearance,1,1,Yes,>₹1000,"Mental health tips, Reminders, Challenges",Yes,Didn’t see results,Guided,₹50k–₹1L,Consistent,Maybe,17.566541322597967
30,Male,170,49,Yes,Maintain health,Medium,3–4,No,In-app tracking,Appearance,1,2,No,₹200–₹500,"Workout plans, Community features",No,Didn’t see results,Guided,₹1L–₹2L,Start but can’t continue,Maybe,15.45794853103268
28,Male,165,67,No,Maintain health,High,3–4,No,In-app tracking,Social influence,5,5,Maybe,<₹200,"Diet tracker, Reminders, Community features, Workout plans",Yes,"Got bored, Privacy concerns, Didn’t see results",Guided,₹1L–₹2L,Need motivation to start,Maybe,23.80730915141753
39,Female,165,77,No,Weight loss,Low,5–6,Yes,In-app tracking,Health,5,2,Maybe,<₹200,"Diet tracker, Workout plans, Challenges, Reminders",Yes,"Didn’t see results, Privacy concerns",Guided,₹1L–₹2L,Need motivation to start,Yes,27.42700767241703
32,Female,158,96,No,Muscle gain,Low,0,No,In-app tracking,Appearance,1,3,Maybe,₹0,"Community features, Reminders, Workout plans, Challenges",Yes,"App was buggy, Didn’t see results, Others",Guided,>₹2L,Start but can’t continue,Yes,40.78298318701283
32,Male,171,80,Yes,Weight loss,Medium,5–6,No,Manual logs,Health,4,4,Yes,₹200–₹500,"Community features, Workout plans, Diet tracker, Reminders",Yes,Privacy concerns,Self-paced,>₹2L,Need better results,Yes,29.91768901591542
26,Female,169,66,Yes,Maintain health,Medium,3–4,No,In-app tracking,Energy,4,5,No,₹200–₹500,"Mental health tips, Challenges, Community features, Reminders",Yes,"Too expensive, Got bored, Others",Mix of both,₹50k–₹1L,Need better results,Yes,24.737526626485284
26,Female,169,54,Yes,Mental wellness,Low,1–2,Yes,Wearable devices,Mental health,1,5,Yes,<₹200,"Mental health tips, Community features, Reminders, Challenges",No,Didn’t see results,Guided,₹50k–₹1L,Start but can’t continue,Yes,19.02950904610153
26,Female,159,88,Yes,Others,Medium,1–2,No,Manual logs,Appearance,4,1,Yes,₹200–₹500,"Reminders, Challenges, Workout plans, Community features",Yes,"Others, Privacy concerns",Guided,₹50k–₹1L,Consistent,Maybe,30.693876938187124
33,Non-binary,143,55,Yes,Muscle gain,High,1–2,No,In-app tracking,Appearance,1,1,Yes,₹500–₹1000,"Community features, Challenges",Yes,"Didn’t see results, Privacy concerns",Mix of both,₹50k–₹1L,Consistent,Maybe,28.543389505365713
26,Male,175,94,No,Muscle gain,High,3–4,Yes,Wearable devices,Social influence,5,1,Yes,<₹200,"Mental health tips, Diet tracker, Workout plans",No,"Privacy concerns, Didn’t see results",Guided,<₹20k,Need motivation to start,Yes,32.25718688694165
32,Female,160,65,No,Mental wellness,Low,0,No,Manual logs,Mental health,2,2,Maybe,₹200–₹500,"Challenges, Diet tracker, Community features",Yes,"Didn’t see results, Too expensive, Privacy concerns",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,25.960344166802983
46,Female,156,93,Yes,Maintain health,High,1–2,No,In-app tracking,Energy,3,4,Yes,>₹1000,"Reminders, Challenges",No,"Got bored, App was buggy, Others",Guided,₹20k–₹50k,Start but can’t continue,Yes,39.173675723141706
36,Female,171,80,No,Weight loss,Medium,5–6,No,Not tracking,Mental health,4,2,Yes,₹200–₹500,"Workout plans, Diet tracker, Community features, Mental health tips",Yes,Didn’t see results,Guided,₹20k–₹50k,Consistent,Yes,25.735438879912998
27,Female,161,67,Yes,Muscle gain,Medium,1–2,No,Not tracking,Health,4,4,Maybe,₹500–₹1000,"Community features, Challenges, Mental health tips",Yes,"Others, Didn’t see results",Guided,<₹20k,Start but can’t continue,Maybe,25.161042774749056
39,Female,175,62,Yes,Weight loss,Medium,1–2,No,Not tracking,Mental health,5,5,Yes,₹200–₹500,"Diet tracker, Reminders, Challenges, Mental health tips",No,"App was buggy, Didn’t see results, Got bored",Guided,₹1L–₹2L,Need better results,Yes,18.603650952604546
26,Female,171,64,No,Muscle gain,High,3–4,Yes,Not tracking,Health,4,2,Yes,₹500–₹1000,"Workout plans, Mental health tips, Reminders",Yes,Got bored,Mix of both,₹50k–₹1L,Start but can’t continue,Maybe,21.576388272643023
13,Male,171,76,Yes,Muscle gain,Medium,3–4,No,Manual logs,Appearance,1,2,Yes,₹500–₹1000,"Community features, Mental health tips, Workout plans, Reminders",Yes,"Got bored, Others, Didn’t see results",Guided,₹20k–₹50k,Start but can’t continue,Maybe,27.74499591286
21,Female,151,71,No,Maintain health,Low,5–6,No,Wearable devices,Mental health,1,2,Yes,₹200–₹500,"Mental health tips, Challenges",Yes,App was buggy,Mix of both,₹50k–₹1L,Start but can’t continue,No,32.0164436203218
15,Prefer not to say,177,61,No,Muscle gain,Medium,3–4,No,In-app tracking,Health,2,3,Yes,₹500–₹1000,"Workout plans, Diet tracker, Mental health tips, Reminders",No,"Got bored, Privacy concerns, Didn’t see results",Self-paced,₹20k–₹50k,Consistent,Maybe,17.382048380399265
27,Non-binary,167,67,Yes,Weight loss,Medium,5–6,No,Wearable devices,Others,2,4,Yes,>₹1000,"Mental health tips, Diet tracker, Challenges",No,"Didn’t see results, App was buggy, Got bored",Mix of both,₹1L–₹2L,Consistent,Yes,27.68791207785003
30,Male,161,71,No,Muscle gain,Low,3–4,No,In-app tracking,Health,2,4,No,₹200–₹500,"Mental health tips, Challenges, Reminders, Community features",Yes,"Didn’t see results, Too expensive, Others",Guided,₹20k–₹50k,Consistent,Yes,27.737044458421803
43,Male,166,38,Yes,Improve flexibility,High,1–2,No,In-app tracking,Social influence,1,2,Yes,<₹200,"Diet tracker, Reminders, Community features",No,"App was buggy, Got bored",Guided,₹20k–₹50k,Start but can’t continue,No,15.0
32,Male,147,76,Yes,Maintain health,Medium,1–2,No,Wearable devices,Social influence,2,3,Yes,₹200–₹500,"Community features, Workout plans, Challenges, Diet tracker",Yes,"Too expensive, Didn’t see results",Self-paced,₹1L–₹2L,Start but can’t continue,No,34.56837534712293
28,Female,169,55,Yes,Weight loss,Medium,3–4,Yes,Not tracking,Appearance,2,2,Maybe,₹500–₹1000,"Workout plans, Community features, Reminders",Yes,"App was buggy, Others, Too expensive",Guided,₹50k–₹1L,Start but can’t continue,Yes,18.147309436197183
36,Female,154,52,Yes,Mental wellness,Low,1–2,Yes,In-app tracking,Mental health,1,4,Yes,₹200–₹500,"Community features, Reminders, Mental health tips",No,Got bored,Mix of both,₹1L–₹2L,Need motivation to start,Yes,22.378448522556944
12,Male,151,44,No,Mental wellness,Medium,5–6,No,In-app tracking,Health,5,5,Maybe,<₹200,"Challenges, Workout plans, Reminders",No,App was buggy,Self-paced,₹50k–₹1L,Consistent,Yes,16.651828550436058
31,Female,149,43,Yes,Weight loss,Low,3–4,Yes,Not tracking,Social influence,4,3,Yes,₹0,"Workout plans, Diet tracker, Challenges, Community features",Yes,"Got bored, Privacy concerns",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,19.957184370130776
36,Female,176,49,No,Weight loss,Low,1–2,No,In-app tracking,Health,3,3,Yes,₹200–₹500,"Diet tracker, Reminders, Workout plans",Yes,"App was buggy, Got bored",Guided,₹50k–₹1L,Start but can’t continue,Maybe,17.49885262066936
18,Female,158,59,Yes,Maintain health,Medium,1–2,No,Manual logs,Mental health,1,2,Maybe,<₹200,"Diet tracker, Community features, Challenges, Mental health tips",Yes,"Others, Didn’t see results",Mix of both,<₹20k,Start but can’t continue,Yes,24.953382702914173
39,Female,180,99,Yes,Improve flexibility,Medium,1–2,No,In-app tracking,Health,1,5,Yes,₹200–₹500,"Workout plans, Community features",No,"App was buggy, Got bored, Too expensive",Self-paced,₹20k–₹50k,Start but can’t continue,Maybe,31.085280987631798
32,Female,159,62,No,Others,Medium,3–4,No,In-app tracking,Appearance,3,4,Yes,₹500–₹1000,"Mental health tips, Challenges",No,Privacy concerns,Mix of both,₹20k–₹50k,Consistent,Yes,25.67563440898684
26,Female,147,72,Yes,Mental wellness,Low,3–4,No,In-app tracking,Appearance,3,1,No,₹200–₹500,"Reminders, Challenges, Community features",Yes,"Got bored, Privacy concerns",Guided,₹1L–₹2L,Need better results,Maybe,34.1041358625732
35,Male,153,76,Yes,Maintain health,Medium,3–4,Yes,In-app tracking,Health,2,4,Yes,₹0,"Diet tracker, Workout plans, Reminders, Challenges",No,"Privacy concerns, App was buggy, Others",Mix of both,₹50k–₹1L,Need better results,Yes,34.559456043816084
48,Female,177,71,Yes,Muscle gain,Low,1–2,No,In-app tracking,Mental health,3,4,Maybe,<₹200,"Workout plans, Mental health tips, Challenges",No,"Too expensive, App was buggy",Mix of both,₹20k–₹50k,Consistent,Yes,22.183676840820052
31,Female,163,68,Yes,Weight loss,High,3–4,No,Wearable devices,Energy,4,5,Maybe,<₹200,"Community features, Workout plans, Mental health tips, Challenges",No,Too expensive,Mix of both,₹20k–₹50k,Start but can’t continue,No,23.766659170758885
31,Female,159,52,Yes,Weight loss,Medium,5–6,No,Not tracking,Mental health,4,3,Yes,<₹200,"Community features, Reminders, Diet tracker, Challenges",Yes,Too expensive,Self-paced,₹1L–₹2L,Consistent,Yes,21.30016174588164
26,Female,166,91,No,Muscle gain,Medium,1–2,No,Not tracking,Health,4,4,No,₹200–₹500,"Community features, Challenges",Yes,"Too expensive, Didn’t see results",Self-paced,<₹20k,Need motivation to start,Yes,35.191256061183616
23,Female,170,97,Yes,Maintain health,Low,3–4,No,Manual logs,Health,4,3,No,₹200–₹500,"Mental health tips, Workout plans, Diet tracker, Community features",Yes,"Got bored, Privacy concerns, App was buggy",Guided,₹50k–₹1L,Consistent,Maybe,32.782871030754336
36,Male,176,44,Yes,Maintain health,Low,Daily,No,Manual logs,Appearance,4,5,Maybe,<₹200,"Reminders, Workout plans, Challenges, Mental health tips",Yes,Privacy concerns,Mix of both,₹50k–₹1L,Consistent,Maybe,17.399730605739897
23,Female,179,54,No,Maintain health,High,1–2,No,Not tracking,Social influence,2,5,Maybe,₹0,"Reminders, Diet tracker, Community features",No,Too expensive,Mix of both,₹50k–₹1L,Consistent,Yes,17.61659853934912
30,Male,161,94,Yes,Weight loss,Low,3–4,No,Not tracking,Others,1,2,Maybe,<₹200,"Challenges, Reminders, Mental health tips",No,Privacy concerns,Guided,₹20k–₹50k,Need motivation to start,Yes,26.93289089513003
26,Male,151,55,No,Maintain health,Medium,0,No,Not tracking,Health,3,1,Yes,>₹1000,"Diet tracker, Workout plans, Community features, Challenges",Yes,"Too expensive, Others",Self-paced,₹1L–₹2L,Need better results,Yes,21.798351393503644
33,Female,160,77,Yes,Weight loss,Medium,3–4,No,Not tracking,Appearance,1,5,Maybe,₹200–₹500,"Challenges, Mental health tips",No,"Didn’t see results, Others, Too expensive",Mix of both,₹50k–₹1L,Consistent,Maybe,31.659925953073596
32,Prefer not to say,167,59,Yes,Muscle gain,Low,0,No,In-app tracking,Appearance,3,5,Yes,₹500–₹1000,"Mental health tips, Community features, Diet tracker",Yes,"Got bored, Didn’t see results, App was buggy",Guided,₹20k–₹50k,Consistent,Yes,22.09121791733597
38,Male,155,102,No,Improve flexibility,High,Daily,No,In-app tracking,Mental health,2,3,Yes,₹500–₹1000,"Mental health tips, Workout plans, Community features",Yes,"Others, Too expensive, App was buggy",Guided,₹20k–₹50k,Need motivation to start,Yes,45.0
25,Male,155,87,Yes,Maintain health,Medium,5–6,No,In-app tracking,Energy,2,5,Maybe,₹200–₹500,"Workout plans, Reminders",Yes,"App was buggy, Got bored, Didn’t see results",Mix of both,₹20k–₹50k,Start but can’t continue,Yes,37.244221834489856
27,Female,168,73,No,Others,Low,5–6,No,Manual logs,Mental health,5,4,Yes,₹500–₹1000,"Workout plans, Mental health tips, Challenges",Yes,"Didn’t see results, Others, Privacy concerns",Mix of both,₹20k–₹50k,Need motivation to start,Yes,27.17220279714583
22,Male,164,85,Yes,Weight loss,Low,5–6,Yes,In-app tracking,Health,5,2,Maybe,<₹200,"Diet tracker, Workout plans, Mental health tips, Reminders",Yes,"Others, Too expensive",Mix of both,₹1L–₹2L,Start but can’t continue,Yes,46.96306331759392
26,Female,165,86,Yes,Muscle gain,Low,3–4,Yes,In-app tracking,Mental health,2,2,Yes,₹200–₹500,"Mental health tips, Reminders, Community features, Workout plans",Yes,"Got bored, Didn’t see results",Guided,₹20k–₹50k,Consistent,Yes,32.22335842620403
33,Female,157,61,Yes,Weight loss,High,3–4,No,In-app tracking,Mental health,2,4,Maybe,<₹200,"Mental health tips, Community features, Challenges, Reminders",No,"App was buggy, Privacy concerns, Too expensive",Guided,₹1L–₹2L,Need better results,Yes,27.03900877230951
36,Female,162,57,Yes,Muscle gain,Medium,5–6,No,In-app tracking,Health,3,5,Yes,₹500–₹1000,"Mental health tips, Workout plans, Reminders",Yes,"Didn’t see results, App was buggy, Others",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,21.025975386708545
22,Male,155,71,No,Mental wellness,Low,Daily,Yes,In-app tracking,Energy,2,1,Yes,₹0,"Workout plans, Challenges, Diet tracker",Yes,"App was buggy, Didn’t see results",Self-paced,₹20k–₹50k,Consistent,Maybe,28.128805607683862
36,Male,173,82,Yes,Maintain health,Low,3–4,No,Manual logs,Appearance,1,5,Yes,₹500–₹1000,"Community features, Challenges, Workout plans",Yes,"Didn’t see results, App was buggy",Guided,₹20k–₹50k,Need motivation to start,Maybe,31.41575845656292
40,Female,175,72,No,Mental wellness,Medium,Daily,No,Wearable devices,Health,3,2,No,₹0,"Workout plans, Diet tracker, Mental health tips",No,"Too expensive, App was buggy, Privacy concerns",Mix of both,₹50k–₹1L,Start but can’t continue,Yes,22.954939978815577
33,Female,146,46,No,Weight loss,Medium,3–4,No,Manual logs,Social influence,2,1,Yes,₹500–₹1000,"Reminders, Community features, Mental health tips, Diet tracker",Yes,"Didn’t see results, Too expensive, App was buggy",Mix of both,₹50k–₹1L,Need better results,No,23.390083657018483
45,Male,155,57,Yes,Mental wellness,Medium,3–4,No,Manual logs,Health,3,3,No,₹200–₹500,"Workout plans, Reminders",No,"Privacy concerns, Didn’t see results",Guided,₹1L–₹2L,Consistent,No,22.769583988560175
23,Female,150,68,Yes,Weight loss,Low,3–4,Yes,Not tracking,Social influence,3,3,Yes,₹200–₹500,"Challenges, Reminders, Workout plans, Diet tracker",Yes,Others,Guided,₹50k–₹1L,Consistent,Yes,29.34640747724977
48,Male,158,68,No,Mental wellness,Low,1–2,No,Manual logs,Energy,4,5,Yes,₹200–₹500,"Challenges, Diet tracker, Community features",Yes,"Got bored, Others, Didn’t see results",Guided,₹50k–₹1L,Start but can’t continue,Yes,26.993604800514472
15,Female,164,99,No,Weight loss,Medium,0,No,Wearable devices,Appearance,5,5,Yes,₹200–₹500,"Mental health tips, Diet tracker, Community features, Challenges",No,Privacy concerns,Self-paced,<₹20k,Start but can’t continue,No,37.954535564745576
41,Male,150,49,Yes,Weight loss,High,1–2,No,In-app tracking,Energy,3,1,Yes,₹200–₹500,"Workout plans, Reminders",Yes,"App was buggy, Too expensive, Didn’t see results",Guided,₹1L–₹2L,Need motivation to start,Yes,24.114042723801248
35,Prefer not to say,155,77,Yes,Muscle gain,Low,3–4,Yes,In-app tracking,Energy,3,1,Maybe,>₹1000,"Workout plans, Diet tracker, Mental health tips, Reminders",Yes,"Others, Too expensive, Got bored",Self-paced,₹1L–₹2L,Start but can’t continue,Yes,30.928338395206588
29,Male,154,92,Yes,Mental wellness,Medium,1–2,No,Manual logs,Health,4,5,Maybe,₹0,"Challenges, Diet tracker",Yes,"App was buggy, Too expensive, Privacy concerns",Self-paced,₹20k–₹50k,Need motivation to start,Yes,41.033636976216734
32,Male,167,104,No,Weight loss,Medium,3–4,Yes,In-app tracking,Appearance,2,2,Yes,>₹1000,"Challenges, Diet tracker, Mental health tips",Yes,"Too expensive, Privacy concerns, Got bored",Mix of both,<₹20k,Consistent,Yes,37.56737392757347
20,Male,165,63,Yes,Muscle gain,Medium,Daily,No,In-app tracking,Health,3,3,No,₹200–₹500,"Mental health tips, Challenges, Reminders, Diet tracker",No,Others,Guided,₹50k–₹1L,Need motivation to start,Maybe,22.788504779512103
49,Male,157,77,No,Mental wellness,Low,1–2,No,Wearable devices,Appearance,4,1,Maybe,₹500–₹1000,"Diet tracker, Mental health tips, Reminders, Community features",Yes,"Privacy concerns, Didn’t see results",Self-paced,₹50k–₹1L,Need motivation to start,Maybe,32.35754357167314
31,Female,166,78,Yes,Muscle gain,High,3–4,Yes,Wearable devices,Appearance,1,2,Yes,₹200–₹500,"Reminders, Challenges, Mental health tips, Community features",Yes,"Too expensive, Didn’t see results",Mix of both,₹50k–₹1L,Consistent,Maybe,31.164230492289565
30,Prefer not to say,159,72,Yes,Weight loss,Medium,1–2,No,Not tracking,Health,4,5,Yes,₹200–₹500,"Reminders, Workout plans, Mental health tips, Challenges",Yes,App was buggy,Self-paced,₹50k–₹1L,Need better results,Maybe,29.510982085857158
35,Male,162,68,Yes,Muscle gain,Medium,0,Yes,In-app tracking,Health,5,4,No,₹500–₹1000,"Reminders, Challenges, Mental health tips",Yes,"Didn’t see results, App was buggy",Mix of both,₹1L–₹2L,Need better results,Yes,24.45757971616739
33,Male,181,76,Yes,Muscle gain,Low,5–6,No,In-app tracking,Social influence,5,1,Yes,₹200–₹500,"Mental health tips, Reminders",Yes,"Got bored, App was buggy",Mix of both,₹20k–₹50k,Need better results,Maybe,23.490689750082783
31,Female,178,32,Yes,Mental wellness,Low,3–4,No,Manual logs,Health,2,4,Yes,₹200–₹500,"Reminders, Challenges",Yes,"Others, Didn’t see results",Mix of both,₹50k–₹1L,Start but can’t continue,No,15.0
23,Female,152,80,Yes,Improve flexibility,Low,5–6,No,Wearable devices,Mental health,2,2,Yes,₹0,"Reminders, Mental health tips, Workout plans, Diet tracker",Yes,"Too expensive, Got bored",Guided,<₹20k,Start but can’t continue,No,33.4394820788556
33,Female,173,71,Yes,Muscle gain,Medium,1–2,No,In-app tracking,Energy,5,3,No,<₹200,"Mental health tips, Reminders, Community features",Yes,"Got bored, Others",Self-paced,₹20k–₹50k,Need better results,Yes,24.284628304748225
